id,name,sanskrit_name,description,dosha_type,diet_plan,foods_to_take,foods_to_avoid,lifestyle_routine,recommended_exercises
1,Common Cold,Pratishyaya,"A viral infection of the upper respiratory tract causing nasal congestion, sneezing, and mild fever. In Ayurveda it is primarily a Kapha-Vata disorder caused by weakened immunity and exposure to cold.",Kapha-Vata,"Light, warm, easily digestible foods; avoid dairy and cold items.","Warm water with ginger and lemon, tulsi (holy basil) tea, garlic, honey, warm soups, light khichdi, pomegranate juice","Cold drinks, ice cream, heavy dairy (milk, cheese, yogurt), fried foods, sweets, bananas, cucumbers, cold salads","Steam inhalation with eucalyptus oil, rest adequately, avoid day sleeping, keep body warm, apply warm mustard oil on chest, do nasya with warm ghee drops","Kapalabhati Pranayama, Anulom Vilom (Alternate Nostril Breathing), gentle Sun Salutation"
2,Vata-Type Arthritis,Vata Sandhivata,"Joint disorder caused by aggravated Vata dosha, characterized by cracking, popping, dry joints with no swelling. Pain worsens with movement and strenuous exercise.",Vata,"Warm, moist, easily digestible, oily foods; follow Vata-pacifying diet.","Warm soups, ghee, sesame seeds, warm milk with turmeric, ginger tea, castor oil in ginger tea, well-cooked grains, root vegetables","Cold food and drinks, raw salads, beans, barley, corn, tomatoes, potatoes, eggplant (nightshades), dry crackers, carbonated drinks",Apply Mahanarayan oil on affected joint followed by moist heat soak; warm sesame oil foot and scalp massage at bedtime; avoid jogging and jumping; keep joints warm; warm water enema to cleanse colon,"Forward Bend (gentle), Chest-Knee pose, Maha Mudra, Half Bridge pose, Anulom Vilom Pranayama"
3,Pitta-Type Arthritis,Pitta Sandhivata,"Inflammatory arthritis driven by excess Pitta dosha. Joints appear red, hot, and swollen and are painful even without movement.",Pitta,"Cooling, light foods; follow Pitta-pacifying diet strictly.","Coconut water, cucumber, coriander tea, cooling fruits (sweet varieties), ghee, aloe vera gel, mung dal","Hot spicy foods, pickles, spinach, tomatoes, red meat, fermented foods, alcohol, sour citrus fruits, fried foods",Apply cool castor oil or coconut oil to painful areas; apply sandalwood paste on inflamed joint; apply ice bag when joint is hot; avoid sun exposure and high temperatures; practice Shitali Pranayama,"Boat, Bow, Camel, Cow, Locust poses; Moon Salutation; Shitali Pranayama (cooling breath)"
4,Bronchial Asthma,Tamaka Shvasa,"A chronic respiratory condition characterized by sudden attacks of wheezing, shortness of breath, and chest tightness. Primarily a Kapha disorder with Vata involvement in the respiratory tract.",Kapha-Vata,"Light, warm, dry foods; avoid cold, heavy, and mucus-forming foods.","Ginger tea with honey, warm water, mustard seed tea, tulsi tea, light soups, pomegranate juice, warm spiced foods, cloves","All dairy products (milk, cheese, yogurt), fermented foods, salty items, cucumber, tuna fish, mushrooms, peanuts, walnuts, yeast-containing foods, cold beverages","Avoid known allergens (dust, mold, chemicals); apply warm mustard oil on chest; use warm ghee drops in nostrils (nasya) if sinus infection is cause; avoid damp environments; sleep with head elevated; avoid smoking","Bow pose, Cobra pose, Vajrasana (sitting), Shoulder Stand, Plow pose, Kapalabhati Pranayama, Anulom Vilom"
5,Vata-Type Anemia,Vata Pandu,"Anemia with Vata imbalance, characterized by thin build, dry rough scaly skin, cracking joints, breathlessness, constipation, and possibly tarry black stools.",Vata,"Iron-rich, nourishing, warm, oily foods to build blood and pacify Vata.","Beets, carrots, grapes, raisins, currants, figs, dates, pomegranate juice, cranberry juice, beet-carrot juice with cumin, spinach, chard, fresh green vegetables, warm milk with Tikta Ghrita","Cold foods, dry foods, raw vegetables, excessive beans, barley, excessive fasting, carbonated drinks","Take Tikta Ghrita (bitter ghee) before meals; take Gandharva Haritaki at bedtime; eat yogurt with turmeric on empty stomach (morning and afternoon only, not after sunset); avoid heavy exertion","Gentle yoga, Anulom Vilom Pranayama, So-Hum Meditation, gentle walking"
6,Constipation,Vibandha,"Difficulty in passing stools or infrequent bowel movements, primarily a Vata disorder caused by dry, cold, or irregular diet, stress, and reduced agni (digestive fire).",Vata,"High-fiber, warm, oily, and moist foods; follow Vata-pacifying diet.","Warm milk with ghee at bedtime, flaxseed tea, prunes, raisins, peaches, pineapple juice, apple (raw, peeled), oatmeal, wheat bran, soaked figs, warm water throughout the day","Dry foods (chips, crackers), cold foods, excessive raw vegetables, beans, barley, refined flour products, carbonated drinks, excess caffeine",Drink 4-5 glasses of warm water daily; take Triphala (1 tsp) with warm water at night; practice nauli (abdominal exercise); regular bowel timing each morning; avoid suppressing urge to defecate; reduce stress,"Sun Salutation (12 cycles daily), Chest-Knee pose, Leg Lift, Nauli (abdominal churning), 30-minute daily walk or light jog"
7,Fever,Jwara,Elevation of body temperature as a response to infection or inflammation. Ayurveda classifies fever by dosha type. Chronic fever involves deep Pitta imbalance with systemic toxin accumulation.,Pitta,"Light, cooling, easily digestible foods; fasting or semi-fasting encouraged during acute fever.","Tulsi (holy basil) tea with black pepper and honey, warm water, light mung dal soup, pomegranate juice, coconut water, barley water, maha sudarshan churna in warm water","Heavy meat, fried foods, dairy, sweets, spicy and hot foods, alcohol, raw cold vegetables, excess oil",Rest completely; avoid travel and exercise; apply damp cool cloth on forehead for high fever; for pitta fever-induced convulsions use grated onion compress on forehead and belly; take Maha Sudarshan Churna,Complete rest during acute fever; gentle Pranayama only after recovery; Shavasana (Corpse pose) for relaxation
8,Vata-Type Headache,Vata Shiroroga,"Throbbing, pulsating headache originating in the occipital (back) region of the head, often associated with neck tension, constipation, dehydration, and sciatica. Worsens with movement.",Vata,"Follow Vata-balancing diet with warm, nourishing, easy-to-digest foods.","Warm soups, ghee, sesame seeds, warm milk, ginger tea, homemade oral rehydration (sugar, salt, lime), warm grains, root vegetables","Cold and iced drinks, raw salads, dry foods, carbonated beverages, excessive caffeine, beans, fermented foods",Apply nutmeg paste on forehead; warm sesame oil scalp and foot massage at night; warm water enema to relieve constipation; take Triphala to detoxify colon; Ghee Nasya (3-5 drops warm ghee in each nostril); neck and shoulder oil massage; correct dehydration with dextrosaline,"Anulom Vilom Pranayama, gentle Shavasana, gentle neck rolls, So-Hum Meditation"
9,Pitta-Type Headache,Pitta Shiroroga,"Burning, shooting, or piercing headache starting at the temples, often behind the eyes. Worsened by bright light, heat, spicy food, and sour fruits. May be associated with nausea and dizziness.",Pitta,Follow Pitta-pacifying diet with cooling foods.,"Sweet fruits, ice cream (occasionally), cumin-coriander tea, coconut water, rose water, aloe vera juice, cool (not cold) milk, cucumber","Sour fruits, pickles, hot spicy foods, alcohol, red meat, fermented foods, tomatoes, salt in excess",Apply sandalwood powder paste on forehead and temples; apply Brahmi oil or Bhringaraj oil on scalp and feet at night; avoid walking in the sun without a hat; Ghee Nasya with warm ghee in nostrils; keep environment cool and dimly lit,"Shitali Pranayama (cooling breath), Moon Salutation, Shavasana, Chandra Bheda Pranayama"
10,Hypertension,Raktagata Vata,"Abnormally elevated blood pressure resulting from increased blood viscosity (Kapha), constriction of vessels (Vata), or forceful blood flow (Pitta). Long-term hypertension risks heart disease and stroke.",Vata-Pitta-Kapha,"Cooling, light, low-salt diet; avoid fatty and spicy foods.","Mango juice followed by warm spiced milk, orange-coconut water mix, peach juice with cardamom and coriander, watermelon with cardamom, cucumber raita, mung dal soup with cumin and turmeric, honey water with apple cider vinegar","Salt (excess), fatty fried foods, hot spicy food, red meat, alcohol, coffee, canned foods, processed foods, heavy cheeses","Avoid working in hot sun; practice meditation daily (So-Hum, Transcendental); drink magnetic water twice daily; limit stressful activities; no public speaking when BP is elevated; monitor BP regularly with doctor supervision","Gentle yoga, Shavasana, Pranayama (Anulom Vilom), daily walking, So-Hum Meditation, no vigorous exertion"
