id,name,sanskrit_name,description,dosage,preparation,usage_instructions
1,Ginger and Tulsi Tea,Ardraka-Tulsi Kwath,"A warming decoction that clears Kapha from the respiratory tract, improves immunity, and reduces fever. Tulsi (holy basil) is a natural antiviral and antibacterial herb.",2-3 times a day,"Boil 1 cup water with 1 tsp crushed fresh ginger and 5-6 fresh tulsi leaves for 5 minutes. Strain, add 1 tsp honey and a pinch of black pepper.",Sip slowly while warm. Best taken in the morning and evening. Do not add honey to boiling water.
2,Triphala Colon Cleanse,Triphala Churna,"A classical Ayurvedic combination of three fruits (Amalaki, Bibhitaki, Haritaki) that gently cleanses the colon, removes Ama (toxins), and regularizes bowel movements. Effective for all dosha types.","1 tsp at bedtime, daily for 1-3 months",Mix 1 tsp Triphala powder in half cup warm water. Stir well until dissolved.,"Drink at bedtime, ideally on an empty stomach. Expect bowel movement the next morning. Reduce dose if stools become too loose."
3,Warm Mustard Oil Chest Rub,Sarshapa Taila Lepa,"Topical application of warm brown mustard oil on the chest to break up Kapha congestion in the bronchial passages, relieve wheezing, and improve circulation in the respiratory tract.",Once or twice daily during acute symptoms,Warm a small amount of brown mustard oil in a bowl by placing it in hot water for 2-3 minutes. Test on wrist for comfortable temperature.,Rub warm oil gently onto the chest and upper back. Cover with a warm cloth or wear a warm shirt. Best done before sleep. May combine with steam inhalation.
4,Tikta Ghrita (Bitter Ghee),Tikta Ghrita,"Medicated bitter ghee used in Ayurveda to improve blood volume, nourish Rasa and Rakta Dhatu (plasma and blood tissue), and pacify Vata in anemia conditions.","1 tsp, 3 times daily before meals (5-10 minutes before breakfast, lunch, and dinner)",Obtain from a qualified Ayurvedic pharmacy. Store in a cool dry place. Warm slightly before use by placing container in warm water.,"Take on an empty stomach before each meal. Do not mix with food. Suitable for Vata-type anemia. If digestion feels heavy, start with 1/2 tsp."
5,Warm Milk with Ghee for Constipation,Ksheera-Ghrita Yoga,"A gentle, effective laxative combination that lubricates the intestinal tract, pacifies Vata, and promotes soft, easy bowel movements without dependency. Especially suitable for Vata and Pitta types.",Once at bedtime,Heat 1 cup of whole milk. Add 1-2 tsp of organic ghee while warm. Stir well.,Drink warm at bedtime. Results expected the following morning. Can be used regularly unlike castor oil. Not recommended for Kapha types on a regular basis.
6,Mahanarayan Oil Joint Massage,Mahanarayan Taila Abhyanga,"A classical polyherbal Ayurvedic medicated oil used to relieve joint pain, stiffness, and inflammation in Vata-type arthritis. Deeply penetrates tissue and improves local circulation.",Once or twice daily on affected joints,Obtain Mahanarayan oil from an Ayurvedic pharmacy. Warm a small quantity by placing the bottle in warm water for a few minutes.,"Apply warm oil to the affected joint and massage gently for 5-10 minutes. Follow immediately with moist heat (warm water soak or warm compress). For arthritic ankle, add 2 tbsp mustard seeds wrapped in cloth to the warm water soak."
7,Sandalwood Paste for Pitta Headache,Chandana Lepa,"Cooling topical application of sandalwood powder on the forehead and temples to reduce Pitta-driven inflammation, burning pain, and heat sensation in the head.",As needed during headache episodes,Mix 1 tsp sandalwood (Chandan) powder with enough clean water to form a smooth paste. Mix well until uniform consistency.,"Apply paste to forehead and/or temples. Leave on for 30 minutes, then wash off with cool water. Can be reapplied if headache persists. Store unused paste covered at room temperature for up to 4 hours."
8,Aloe Vera Gel for Pitta Conditions,Kumari Swaras,"Fresh aloe vera gel acts as a cooling, anti-inflammatory, and liver-supportive remedy for Pitta disorders including headaches, arthritis inflammation, and skin issues.",2 tbsp up to 3 times a day,"Use pure, food-grade aloe vera gel (fresh from a leaf if available). Scoop the inner gel from an aloe leaf using a spoon.",Take directly by mouth or mix with water. Best taken before meals. Fresh gel is superior to packaged products. Do not take during pregnancy without physician guidance.
9,Punarnava Guggulu for Kapha Arthritis,Punarnava Guggulu,"A classical Ayurvedic herbal compound tablet that reduces swelling, removes excess Kapha from joints, and improves circulation. Particularly effective for cold, damp, stiff joint conditions.",1 tablet (250mg) 3 times daily with warm water,Available from Ayurvedic pharmacies as a ready-made tablet formulation. No special preparation needed.,Take with warm water after meals. Avoid cold water. Continue for at least 4-6 weeks for best results. Monitor kidney function if using long-term.
10,Maha Sudarshan Churna for Fever,Maha Sudarshan Churna,"A classical multi-herb Ayurvedic powder formula effective for all types of fever. Detoxifies the system, reduces Pitta, clears Ama, and supports immune function.",1/2 tsp twice a day with warm water,Available as a ready powder from Ayurvedic pharmacies. Mix 1/2 tsp in a small glass of warm water and stir well.,"Drink on an empty stomach or as directed. For high fever, can be combined with Tikta Ghrita. Continue until fever resolves. Consult doctor for fever over 3 days."
